Item	Gloss	Current_Site_Code	Current_Review_Status	Current_Reviewed_Transcription	Prior_Source_Key	Prior_Site_Code	Prior_Reviewed_Transcription	Match_Status	Integration_Disposition	Notes
126	month	DUM	attested	arke | masek | mesek	mathew-chamberlain2022bonda-didayi	DUM	aɾke	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
127	year	DUM	attested	bɔrsek	mathew-chamberlain2022bonda-didayi	DUM	beɾmo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
128	old	DUM	attested	baiur	mathew-chamberlain2022bonda-didayi	DUM	baɪuɾ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
129	new	DUM	attested	t̪ime	mathew-chamberlain2022bonda-didayi	DUM	ti̪me	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
130	good	DUM	attested	bol	mathew-chamberlain2022bonda-didayi	DUM	bɔl	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
131	bad	DUM	attested	olira	mathew-chamberlain2022bonda-didayi	DUM	oliɾa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
132	wet	DUM	attested	ɖagra	mathew-chamberlain2022bonda-didayi	DUM	ɖagɽa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
133	dry	DUM	attested	nsor	mathew-chamberlain2022bonda-didayi	DUM	n̩soɾ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
134	long	DUM	attested	sileim	mathew-chamberlain2022bonda-didayi	DUM	çɪleiŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
135	short	DUM	attested	ɖilei	mathew-chamberlain2022bonda-didayi	DUM	ɖɪlei	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
136	hot	DUM	attested	gige	mathew-chamberlain2022bonda-didayi	DUM	gɪge	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
137	cold	DUM	attested	sep'	mathew-chamberlain2022bonda-didayi	DUM	sep	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
138	right	DUM	attested	sʊsʊm	mathew-chamberlain2022bonda-didayi	DUM	susum	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
139	left	DUM	attested	basak	mathew-chamberlain2022bonda-didayi	DUM	basɐ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
140	near	DUM	attested	n̪t̪u	mathew-chamberlain2022bonda-didayi	DUM	n̩tu̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
141	far	DUM	attested	sʊlʊŋ	mathew-chamberlain2022bonda-didayi	DUM	suluŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
142	big	DUM	attested	mʊna | bʊɖa | mʊna	mathew-chamberlain2022bonda-didayi	DUM	mɳa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
143	small	DUM	attested	ɖau	mathew-chamberlain2022bonda-didayi	DUM	ɖaubai	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
144	heavy	DUM	attested	leŋgi	mathew-chamberlain2022bonda-didayi	DUM	lɪgɪ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
145	light	DUM	attested	njap	mathew-chamberlain2022bonda-didayi	DUM	m̩jam	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
146	above	DUM	attested	baʔbok	mathew-chamberlain2022bonda-didayi	DUM	baʔbo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
147	below	DUM	attested	ʌluŋ	mathew-chamberlain2022bonda-didayi	DUM	ʌluŋ	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
148	white	DUM	attested	tʊlʊi	mathew-chamberlain2022bonda-didayi	DUM	tʊ̪li	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
149	black	DUM	attested	kʌlija	mathew-chamberlain2022bonda-didayi	DUM	kʌlejɐ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
150	red	DUM	attested	selaŋ	mathew-chamberlain2022bonda-didayi	DUM	sʌŋsʌŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
151	one	DUM	attested	mʊjʊ	mathew-chamberlain2022bonda-didayi	DUM	muju	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
152	two	DUM	attested	mbaru	mathew-chamberlain2022bonda-didayi	DUM	m̩baɾu	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
153	three	DUM	attested	iʔŋge	mathew-chamberlain2022bonda-didayi	DUM	ŋge	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
154	four	DUM	attested	ũʔũ	mathew-chamberlain2022bonda-didayi	DUM	tʃɐɾʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
155	five	DUM	attested	moloi	mathew-chamberlain2022bonda-didayi	DUM	pɐndʒʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
156	six	DUM	attested	t̪ʔiri	mathew-chamberlain2022bonda-didayi	DUM	sogoʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
157	seven	DUM	attested	sat̪t̪a	mathew-chamberlain2022bonda-didayi	DUM	sɑtg̪oʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
158	eight	DUM	attested	at̪a	mathew-chamberlain2022bonda-didayi	DUM	ɐʈgoʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
159	nine	DUM	attested	not̪a	mathew-chamberlain2022bonda-didayi	DUM	nɔgoʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
160	ten	DUM	attested	ɖost̪a	mathew-chamberlain2022bonda-didayi	DUM	d̪osʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
161	eleven	DUM	attested	egart̪a	mathew-chamberlain2022bonda-didayi	DUM	egɐɾʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
162	twelve	DUM	attested	bart̪a	mathew-chamberlain2022bonda-didayi	DUM	bɐɾʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
163	twenty	DUM	attested	kodije	mathew-chamberlain2022bonda-didayi	DUM	koɖeʈa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
164	one hundred	DUM	attested	panskoɖi	mathew-chamberlain2022bonda-didayi	DUM	pantʃkoɖi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
165	who?	DUM	attested	dʒa	mathew-chamberlain2022bonda-didayi	DUM	dʒa	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
166	what?	DUM	attested	ma	mathew-chamberlain2022bonda-didayi	DUM	ma	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
167	where?	DUM	attested	ambo	mathew-chamberlain2022bonda-didayi	DUM	ʌɾi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
168	when?	DUM	attested	in̩d̪oja	mathew-chamberlain2022bonda-didayi	DUM	n̩d̪ɔi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
169	how many?	DUM	attested	aʔi	mathew-chamberlain2022bonda-didayi	DUM	aiɖʊta̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
170	what kind?	DUM	attested	mibai	mathew-chamberlain2022bonda-didayi	DUM	mɪjaŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
171	this	DUM	attested	kena	mathew-chamberlain2022bonda-didayi	DUM	kena | kena	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
172	that	DUM	attested	gʊtʊna | gʊtʊna	mathew-chamberlain2022bonda-didayi	DUM	gɾɪna	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
173	these	DUM	source_blank_no_entry		mathew-chamberlain2022bonda-didayi	DUM	kenalap	current-source_blank_no_entry-prior-attested	checked-2002-list-current; 1997-list-superseded-audit-only	the checked current list has no installable response; the prior reading remains audit evidence only
174	those	DUM	source_blank_no_entry		mathew-chamberlain2022bonda-didayi	DUM		both-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	neither reviewed source supplies a lexical response
175	same	DUM	attested	saman	mathew-chamberlain2022bonda-didayi	DUM	saman	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
176	different	DUM	attested	palpal	mathew-chamberlain2022bonda-didayi	DUM	mʊi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
177	whole	DUM	attested	gʊlai	mathew-chamberlain2022bonda-didayi	DUM	obʊd̪i	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
178	broken	DUM	attested	waʔguiga	mathew-chamberlain2022bonda-didayi	DUM	pɪktu̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
179	few	DUM	attested	iki	mathew-chamberlain2022bonda-didayi	DUM	ɪki	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
180	many	DUM	attested	rept̪e	mathew-chamberlain2022bonda-didayi	DUM		current-attested-prior-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	the checked current list supplies a response where the prior list does not
181	all	DUM	attested	gulai	mathew-chamberlain2022bonda-didayi	DUM	gulai	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
182	eat!, he ate	DUM	attested	sʊm	mathew-chamberlain2022bonda-didayi	DUM	sum	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
183	bite!, he bit	DUM	attested	oʔp	mathew-chamberlain2022bonda-didayi	DUM	ɔʔɔb	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
184	he is, he was hungry	DUM	attested	kʊd̪ʊgʊt̪a	mathew-chamberlain2022bonda-didayi	DUM	kʊɖuguta̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
185	drink!, he drank	DUM	attested	i	mathew-chamberlain2022bonda-didayi	DUM	iː	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
186	he is, he was thirsty	DUM	attested	d̪aʔ id̪ʊsʊgut̪a	mathew-chamberlain2022bonda-didayi	DUM	amaiɖaiɪsʊgoi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
187	sleep!, he slept	DUM	attested	leʔmod̪a	mathew-chamberlain2022bonda-didayi	DUM	lemoɖa	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
188	lie down!, he lay down	DUM	attested	d̪riga	mathew-chamberlain2022bonda-didayi	DUM	ɖɾiga	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
189	sit down!, he sat down	DUM	attested	leʔja	mathew-chamberlain2022bonda-didayi	DUM	leja	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
190	give!, he gave	DUM	attested	be	mathew-chamberlain2022bonda-didayi	DUM	be	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
191	it burns, it burned	DUM	attested	d̪ogʊt̪a	mathew-chamberlain2022bonda-didayi	DUM	sʊŋodogʊta̪	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
192	don’t die!, he died	DUM	attested	agʊiga	mathew-chamberlain2022bonda-didayi	DUM	agoiga	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
193	don’t kill!, he killed	DUM	attested	ogʊjo	mathew-chamberlain2022bonda-didayi	DUM	ʌpugo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
194	fly!, it flew	DUM	attested	uʋala	mathew-chamberlain2022bonda-didayi	DUM	ʋaga	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
195	walk!, he walked	DUM	attested	uriŋ	mathew-chamberlain2022bonda-didayi	DUM	uɾiŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
196	run!, he ran	DUM	attested	ur	mathew-chamberlain2022bonda-didayi	DUM	uɾ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
197	go!, he went	DUM	attested	jɑ	mathew-chamberlain2022bonda-didayi	DUM	jɐ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
198	come!, he came	DUM	attested	lobe	mathew-chamberlain2022bonda-didayi	DUM	loː	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
199	speak!, he spoke	DUM	attested	sũ	mathew-chamberlain2022bonda-didayi	DUM	suŋ	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
200	listen!, he heard	DUM	attested	o:ŋ	mathew-chamberlain2022bonda-didayi	DUM	oŋo	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
201	look!, he saw	DUM	attested	dʒu	mathew-chamberlain2022bonda-didayi	DUM	dʒuː	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
202	I (1st sg)	DUM	attested	niŋ	mathew-chamberlain2022bonda-didayi	DUM	niŋ	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
203	you (2nd sg, informal)	DUM	attested	no	mathew-chamberlain2022bonda-didayi	DUM	no	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
204	you (2nd sg, formal)	DUM	attested	no	mathew-chamberlain2022bonda-didayi	DUM	no	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
205	he (3rd sg, masculine)	DUM	attested	mai	mathew-chamberlain2022bonda-didayi	DUM	mɐi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
206	she (3rd sg, feminine)	DUM	attested	mai	mathew-chamberlain2022bonda-didayi	DUM	mɐi	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
207	we (1st pl, inclusive)	DUM	attested	nai	mathew-chamberlain2022bonda-didayi	DUM	ne	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
208	we (1st pl, exclusive)	DUM	attested	nai	mathew-chamberlain2022bonda-didayi	DUM		current-attested-prior-unattested	checked-2002-list-current; 1997-list-superseded-audit-only	the checked current list supplies a response where the prior list does not
209	you (2nd pl)	DUM	attested	pe	mathew-chamberlain2022bonda-didayi	DUM	pe	exact-diplomatic-match	checked-2002-list-current; 1997-list-superseded-audit-only	checked current and prior reviewed strings are identical
210	they (3rd pl)	DUM	attested	meʔje	mathew-chamberlain2022bonda-didayi	DUM	maʔe	different-checked-current-printing	checked-2002-list-current; 1997-list-superseded-audit-only	install the checked current reading; preserve the superseded prior reading and citation in this audit
