Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	Printed_Page	Column	Response	Aspiration_Markers	Review
124	heart (organ)	1	idi	ɾidɔi̯	0	41	2	1	0	source text-layer transcript; legacy glyphs checked against page image
124	heart (organ)	2	mihur	mihur	ac	41	2	2	0	source text-layer transcript; legacy glyphs checked against page image
124	heart (organ)	3	t oi	tʰoi̯	bcdef	41	2	3	1	source text-layer transcript; legacy glyphs checked against page image
125	back	1	pi	pitʰ	0	41	2	1	1	source text-layer transcript; legacy glyphs checked against page image
125	back	1	pi i	pitʰi	bcdef	41	2	2	1	source text-layer transcript; legacy glyphs checked against page image
126	body	1	a	ɡa	0	41	2	1	0	source text-layer transcript; legacy glyphs checked against page image
126	body	2	astaai	astaɡaɾi	a	41	2	2	0	source text-layer transcript; legacy glyphs checked against page image
126	body	2	ai	ɡaɾi	bcdef	41	2	3	0	source text-layer transcript; legacy glyphs checked against page image
127	person	1	lok	lok	0	42	1	1	0	source text-layer transcript; legacy glyphs checked against page image
127	person	2	manu	manu	abcdef	42	1	2	0	source text-layer transcript; legacy glyphs checked against page image
128	man	1	puu	puɾuʃ	0	42	1	1	0	source text-layer transcript; legacy glyphs checked against page image
128	man	2	muni	muni	abcdef	42	1	2	0	source text-layer transcript; legacy glyphs checked against page image
129	woman	1	mohla	mohɪla	0	42	1	1	0	source text-layer transcript; legacy glyphs checked against page image
129	woman	2	dla	dʒɛla	abcf	42	1	2	0	source text-layer transcript; legacy glyphs checked against page image
129	woman	2	dl	dʒɛlɛ	ce	42	1	3	0	source text-layer transcript; legacy glyphs checked against page image
130	father	1	baba	baba	0abcdef	42	1	1	0	source text-layer transcript; legacy glyphs checked against page image
131	mother	1	ma	ma	0	42	1	1	0	source text-layer transcript; legacy glyphs checked against page image
131	mother	2	ima	ima	abcdef	42	1	2	0	source text-layer transcript; legacy glyphs checked against page image
132	husband	1	ami	ʃami	0	42	1	1	0	source text-layer transcript; legacy glyphs checked against page image
132	husband	2	hjok	hɛjok	abcdef	42	1	2	0	source text-layer transcript; legacy glyphs checked against page image
133	wife	1	sti	stɾi	0	42	1	1	0	source text-layer transcript; legacy glyphs checked against page image
133	wife	2	minok	minok	af	42	1	2	0	source text-layer transcript; legacy glyphs checked against page image
133	wife	2	moilok	moi̯lok	bcde	42	1	3	0	source text-layer transcript; legacy glyphs checked against page image
134	son	1	 l	tʃʰɛlɛ	0	42	1	1	1	source text-layer transcript; legacy glyphs checked against page image
134	son	2	pitok	pitok	af	42	1	2	0	source text-layer transcript; legacy glyphs checked against page image
134	son	2	putok	putok	de	42	1	3	0	source text-layer transcript; legacy glyphs checked against page image
135	daughter	1	mj	mɛjɛ	0	42	1	1	0	source text-layer transcript; legacy glyphs checked against page image
135	daughter	2	dilok	dʒilok	adef	42	1	2	0	source text-layer transcript; legacy glyphs checked against page image
135	daughter	3	dla	dʒɛla	b	42	1	3	0	source text-layer transcript; legacy glyphs checked against page image
135	daughter	3	dlasoa/niorsoa	dʒɛlasoa/niŋŋorsoa	c	42	1	4	0	source text-layer transcript; legacy glyphs checked against page image
136	elder brother	4	dada	dada	d	42	2	1	0	source text-layer transcript; legacy glyphs checked against page image
136	elder brother	1	bo b ai	bɔɽo bʰai̯	0	42	2	2	1	source text-layer transcript; legacy glyphs checked against page image
136	elder brother	2	daordada	daŋŋordada	de	42	2	3	0	source text-layer transcript; legacy glyphs checked against page image
136	elder brother	2	dt abjok	dʒɛtʰabɛjok	abcdf	42	2	4	1	source text-layer transcript; legacy glyphs checked against page image
137	elder sister	1	bo bon	bɔɽo bon	0	42	2	1	0	source text-layer transcript; legacy glyphs checked against page image
137	elder sister	2	daor bonok	daŋŋor bonok	cde	42	2	2	0	source text-layer transcript; legacy glyphs checked against page image
137	elder sister	2	dt i bonok	dʒɛtʰi bonok	adf	42	2	3	1	source text-layer transcript; legacy glyphs checked against page image
137	elder sister	3	daor i	daŋŋor itʃɛ	bc	42	2	4	0	source text-layer transcript; legacy glyphs checked against page image
138	younger brother	1	 to b ai	tʃʰto bʰai̯	0	42	2	1	2	source text-layer transcript; legacy glyphs checked against page image
138	younger brother	2	hurkabjok	hurkaŋbɛjok	abdef	42	2	2	0	source text-layer transcript; legacy glyphs checked against page image
138	younger brother	2	k ulabjok	kʰulabɛjok	bcd	42	2	3	1	source text-layer transcript; legacy glyphs checked against page image
139	younger sister	1	 oto bon	tʃʰoto bon	0	42	2	1	1	source text-layer transcript; legacy glyphs checked against page image
139	younger sister	2	hurkabonok	hurkaŋbonok	abdef	42	2	2	0	source text-layer transcript; legacy glyphs checked against page image
139	younger sister	2	k ulibonok	kʰulibonok	cd	42	2	3	1	source text-layer transcript; legacy glyphs checked against page image
140	friend	1	bond u	bondʰu	0	42	2	1	1	source text-layer transcript; legacy glyphs checked against page image
140	friend	2	itao	itao	bcdef	42	2	2	0	source text-layer transcript; legacy glyphs checked against page image
141	name	1	nam	nam	0	42	2	1	0	source text-layer transcript; legacy glyphs checked against page image
141	name	1	na	naŋ	abcdef	42	2	2	0	source text-layer transcript; legacy glyphs checked against page image
142	village	1	am	ɡɾam	0	42	2	1	0	source text-layer transcript; legacy glyphs checked against page image
142	village	2	a	ɡaŋ	abcdef	42	2	2	0	source text-layer transcript; legacy glyphs checked against page image
143	house	1	bai /  r	baɽi / ɡʰɔr	0	42	2	1	1	source text-layer transcript; legacy glyphs checked against page image
143	house	1	or	ɡor	abcdef	42	2	2	0	source text-layer transcript; legacy glyphs checked against page image
144	door	1	drda	dɔrdʒa	0e	43	1	1	0	source text-layer transcript; legacy glyphs checked against page image
144	door	2	duar	duar	abcdef	43	1	2	0	source text-layer transcript; legacy glyphs checked against page image
145	window	1	danala	dʒanala	0	43	1	1	0	source text-layer transcript; legacy glyphs checked against page image
145	window	2	k lki	kʰɛlki	b	43	1	2	1	source text-layer transcript; legacy glyphs checked against page image
145	window	2	k li	kʰɪlɡi	d	43	1	3	1	source text-layer transcript; legacy glyphs checked against page image
145	window	2	k lki	kʰɪlki	ce	43	1	4	1	source text-layer transcript; legacy glyphs checked against page image
145	window	2	k rki	kʰɪrki	af	43	1	5	1	source text-layer transcript; legacy glyphs checked against page image
146	roof	1	ad	ʃad	de	43	1	1	0	source text-layer transcript; legacy glyphs checked against page image
146	roof	1	 ad	tʃʰad	0af	43	1	2	1	source text-layer transcript; legacy glyphs checked against page image
146	roof	2	 al	tʃʰal	bc	43	1	3	1	source text-layer transcript; legacy glyphs checked against page image
147	wall of house	1	dal	dɛal	0bcdef	43	1	1	0	source text-layer transcript; legacy glyphs checked against page image
147	wall of house	2	wal	wal	a	43	1	2	0	source text-layer transcript; legacy glyphs checked against page image
148	pillow	1	bal	balɪʃ	0	43	1	1	0	source text-layer transcript; legacy glyphs checked against page image
148	pillow	2	mol	mol	cde	43	1	2	0	source text-layer transcript; legacy glyphs checked against page image
148	pillow	2	mon	mon	af	43	1	3	0	source text-layer transcript; legacy glyphs checked against page image
148	pillow	2	mor	mor	b	43	1	4	0	source text-layer transcript; legacy glyphs checked against page image
149	blanket	1	kmbol	kɔmbol	0abcdef	43	1	1	0	source text-layer transcript; legacy glyphs checked against page image
150	ring (on finger)	1	a i	aŋtʰi	d	43	1	1	1	source text-layer transcript; legacy glyphs checked against page image
150	ring (on finger)	1	ati	aŋti	0abcef	43	1	2	0	source text-layer transcript; legacy glyphs checked against page image
151	clothing	1	poak	poʃak	0	43	1	1	0	source text-layer transcript; legacy glyphs checked against page image
151	clothing	2	p idt	pʰidʒɛt	abcdef	43	1	2	1	source text-layer transcript; legacy glyphs checked against page image
152	cloth	1	kapo	kapoɽ	0	43	2	1	0	source text-layer transcript; legacy glyphs checked against page image
152	cloth	2	futi	futi	b	43	2	2	0	source text-layer transcript; legacy glyphs checked against page image
152	cloth	2	p uti	pʰuti	acdef	43	2	3	1	source text-layer transcript; legacy glyphs checked against page image
153	medicine	1	oud	oʃud	0	43	2	1	0	source text-layer transcript; legacy glyphs checked against page image
153	medicine	2	hdok	hɔdʒok	abcdef	43	2	2	0	source text-layer transcript; legacy glyphs checked against page image
154	paper	1	kaod	kaɡodʒ	0a	43	2	1	0	source text-layer transcript; legacy glyphs checked against page image
154	paper	2		tʃɛ	bcdef	43	2	2	0	source text-layer transcript; legacy glyphs checked against page image
155	needle	1	u	ʃutʃ	0	43	2	1	0	source text-layer transcript; legacy glyphs checked against page image
155	needle	2	hui	hutʃi	abcdef	43	2	2	0	source text-layer transcript; legacy glyphs checked against page image
156	thread	1	suta	suta	0	43	2	1	0	source text-layer transcript; legacy glyphs checked against page image
156	thread	2	lui	luɾi	cde	43	2	2	0	source text-layer transcript; legacy glyphs checked against page image
156	thread	2	nui	nuɾi	abf	43	2	3	0	source text-layer transcript; legacy glyphs checked against page image
157	broom	1	d au	dʒʰaɽu	0	43	2	1	1	source text-layer transcript; legacy glyphs checked against page image
157	broom	2	hooni	hoɾoni	abcdef	43	2	2	0	source text-layer transcript; legacy glyphs checked against page image
158	spoon (for eating)	1	amo	tʃamotʃ	0abcdef	43	2	1	0	source text-layer transcript; legacy glyphs checked against page image
159	knife (to cut meat)	1	 ui	tʃʰuɾi	0	43	2	1	1	source text-layer transcript; legacy glyphs checked against page image
159	knife (to cut meat)	2	aku	tʃaku	abcdef	43	2	2	0	source text-layer transcript; legacy glyphs checked against page image
160	hammer	1	atua	atuɾa	abcdef	43	2	1	0	source text-layer transcript; legacy glyphs checked against page image
160	hammer	1	hatui	hatuɾi	0	43	2	2	0	source text-layer transcript; legacy glyphs checked against page image
161	axe	1	ku ar	kutʰar	0	44	1	1	1	source text-layer transcript; legacy glyphs checked against page image
161	axe	2	banuk	banuk	abcdef	44	1	2	0	source text-layer transcript; legacy glyphs checked against page image
162	bow	1	dnuk	dɛnuk	b	44	1	1	0	source text-layer transcript; legacy glyphs checked against page image
162	bow	1	d nuk	dʰɔnuk	0adef	44	1	2	1	source text-layer transcript; legacy glyphs checked against page image
162	bow	1	dunuk	dunuk	c	44	1	3	0	source text-layer transcript; legacy glyphs checked against page image
163	arrow	1	tir	tir	0b	44	1	1	0	source text-layer transcript; legacy glyphs checked against page image
163	arrow	2	kar	kar	acdef	44	1	2	0	source text-layer transcript; legacy glyphs checked against page image
164	spear	1	bra	bɔrʃa	0	44	1	1	0	source text-layer transcript; legacy glyphs checked against page image
164	spear	2	dat a	dʒatʰa	af	44	1	2	1	source text-layer transcript; legacy glyphs checked against page image
164	spear	2	dat i	dʒatʰi	bcde	44	1	3	1	source text-layer transcript; legacy glyphs checked against page image
165	fire	1	aun	aɡun	0	44	1	1	0	source text-layer transcript; legacy glyphs checked against page image
165	fire	2	di	dʒi	abcdef	44	1	2	0	source text-layer transcript; legacy glyphs checked against page image
166	ashes	1	ali	ʃali	a	44	1	1	0	source text-layer transcript; legacy glyphs checked against page image
166	ashes	1	sali	sali	f	44	1	2	0	source text-layer transcript; legacy glyphs checked against page image
166	ashes	1	 ai	tʃʰai	0	44	1	3	1	source text-layer transcript; legacy glyphs checked against page image
166	ashes	1	 ali	tʃʰali	bcde	44	1	4	1	source text-layer transcript; legacy glyphs checked against page image
167	smoke	1	d oa	dʰõa	0	44	1	1	1	source text-layer transcript; legacy glyphs checked against page image
167	smoke	1	d uma	dʰuma	abcdef	44	1	2	1	source text-layer transcript; legacy glyphs checked against page image
168	candle	1	mombati	mombati	0abcdef	44	1	1	0	source text-layer transcript; legacy glyphs checked against page image
169	boat	1	nouka	nou̯ka	0abcdef	44	1	1	0	source text-layer transcript; legacy glyphs checked against page image
170	road	1	asta	ɾasta	0	44	2	1	0	source text-layer transcript; legacy glyphs checked against page image
170	road	2	ook	ʃoɾok	abcdef	44	2	2	0	source text-layer transcript; legacy glyphs checked against page image
171	path	1	pt	pɔt	0abcdef	44	2	1	0	source text-layer transcript; legacy glyphs checked against page image
172	to go	1	daa	dʒaɡa	b	44	2	1	0	source text-layer transcript; legacy glyphs checked against page image
172	to go	1	dana	dʒana	acdef	44	2	2	0	source text-layer transcript; legacy glyphs checked against page image
172	to go	1	dawa	dʒawa	0	44	2	3	0	source text-layer transcript; legacy glyphs checked against page image
173	to come	1	aa	aʃa	0	44	2	1	0	source text-layer transcript; legacy glyphs checked against page image
173	to come	2	ahani	ahani	acdef	44	2	2	0	source text-layer transcript; legacy glyphs checked against page image
173	to come	2	ahitaa	ahitaɾa	b	44	2	3	0	source text-layer transcript; legacy glyphs checked against page image
174	to stand	1	daano	daɾano	0	44	2	1	0	source text-layer transcript; legacy glyphs checked against page image
174	to stand	2	uba	uba	b	44	2	2	0	source text-layer transcript; legacy glyphs checked against page image
174	to stand	2	ubani	ubani	def	44	2	3	0	source text-layer transcript; legacy glyphs checked against page image
174	to stand	2	ubaona	ubaona	a	44	2	4	0	source text-layer transcript; legacy glyphs checked against page image
174	to stand	2	ubaoni	ubaoni	c	44	2	5	0	source text-layer transcript; legacy glyphs checked against page image
175	to sit	1	b	bɔ	b	44	2	1	0	source text-layer transcript; legacy glyphs checked against page image
175	to sit	1	bhani	bɔhani	acdef	44	2	2	0	source text-layer transcript; legacy glyphs checked against page image
175	to sit	1	ba	bɔʃa	0	44	2	3	0	source text-layer transcript; legacy glyphs checked against page image
176	to lie down	1	oa	ʃoa	0	44	2	1	0	source text-layer transcript; legacy glyphs checked against page image
176	to lie down	2	hlandia	hɛlandia̯	a	44	2	2	0	source text-layer transcript; legacy glyphs checked against page image
176	to lie down	3	por	por	b	44	2	3	0	source text-layer transcript; legacy glyphs checked against page image
176	to lie down	4	katia	katiɾa	c	44	2	4	0	source text-layer transcript; legacy glyphs checked against page image
177	to walk	1	aani	atani	abcdef	44	2	1	0	source text-layer transcript; legacy glyphs checked against page image
177	to walk	1	haa	hãta	0	44	2	2	0	source text-layer transcript; legacy glyphs checked against page image
178	to fly	1	oa	oɽa	0	45	1	1	0	source text-layer transcript; legacy glyphs checked against page image
178	to fly	1	urani	urani	e	45	1	2	0	source text-layer transcript; legacy glyphs checked against page image
178	to fly	2	p ordani	pʰordani	bd	45	1	3	1	source text-layer transcript; legacy glyphs checked against page image
178	to fly	2	p urdani	pʰurdani	cf	45	1	4	1	source text-layer transcript; legacy glyphs checked against page image
178	to fly	2	p utdani	pʰutdani	a	45	1	5	1	source text-layer transcript; legacy glyphs checked against page image
179	to enter	1	 oka	ɖʰoka	0	45	1	1	1	source text-layer transcript; legacy glyphs checked against page image
179	to enter	2	hmani	hɔmani	abcdef	45	1	2	0	source text-layer transcript; legacy glyphs checked against page image
180	to kick	1	t omdani	tʰomdani	a	45	1	1	1	source text-layer transcript; legacy glyphs checked against page image
180	to kick	1	t odani	tʰoŋdani	cd	45	1	2	1	source text-layer transcript; legacy glyphs checked against page image
180	to kick	2	uani	uʃtani	c	45	1	3	0	source text-layer transcript; legacy glyphs checked against page image
180	to kick	3	la ani	latʰani	b	45	1	4	1	source text-layer transcript; legacy glyphs checked against page image
180	to kick	4	la i maa	latʰi maɾa	0	45	1	5	1	source text-layer transcript; legacy glyphs checked against page image
180	to kick	5	dadal	dʒaŋdal	e	45	1	6	0	source text-layer transcript; legacy glyphs checked against page image
180	to kick	5	dandal	dʒandal	d	45	1	7	0	source text-layer transcript; legacy glyphs checked against page image
181	to swim	1	atar kaa	ʃatar kata	0	45	1	1	0	source text-layer transcript; legacy glyphs checked against page image
181	to swim	2	hatuani	hatuɾani	abcdef	45	1	2	0	source text-layer transcript; legacy glyphs checked against page image
182	to see	1	dæk a	dækʰa	0	45	1	1	1	source text-layer transcript; legacy glyphs checked against page image
182	to see	1	dhani	dɛhani	cdef	45	1	2	0	source text-layer transcript; legacy glyphs checked against page image
182	to see	1	dk ani	dɛkʰani	a	45	1	3	1	source text-layer transcript; legacy glyphs checked against page image
182	to see	2	ana	tʃana	b	45	1	4	0	source text-layer transcript; legacy glyphs checked against page image
183	to hear	1	hunani	hunani	abcdef	45	1	1	0	source text-layer transcript; legacy glyphs checked against page image
183	to hear	1	ona	ʃona	0	45	1	2	0	source text-layer transcript; legacy glyphs checked against page image
184	to wait	1	pkk a ka	ɔpɛkkʰa kɔɾa	0	45	1	1	1	source text-layer transcript; legacy glyphs checked against page image
184	to wait	2	baani	baʃani	abcdef	45	1	2	0	source text-layer transcript; legacy glyphs checked against page image
185	to cry	1	kadani	kadani	abcdef	45	2	1	0	source text-layer transcript; legacy glyphs checked against page image
185	to cry	1	kada	kãda	0	45	2	2	0	source text-layer transcript; legacy glyphs checked against page image
186	to cook	1	ranna ka	ranna kɔɾa	0	45	2	1	0	source text-layer transcript; legacy glyphs checked against page image
186	to cook	2	hidani	hidʒani	af	45	2	2	0	source text-layer transcript; legacy glyphs checked against page image
186	to cook	3	radani	radani	cde	45	2	3	0	source text-layer transcript; legacy glyphs checked against page image
186	to cook	3	radiri	radiri	be	45	2	4	0	source text-layer transcript; legacy glyphs checked against page image
187	to boil (water)	3	okorani	ʃokorani	a	45	2	1	0	source text-layer transcript; legacy glyphs checked against page image
187	to boil (water)	4	topta	topta	b	45	2	2	0	source text-layer transcript; legacy glyphs checked against page image
187	to boil (water)	1	idd o ka	ʃiddʰo kɔɾa	0	45	2	3	1	source text-layer transcript; legacy glyphs checked against page image
187	to boil (water)	2	uhana	uhana	cdef	45	2	4	0	source text-layer transcript; legacy glyphs checked against page image
188	to eat	1	k ana	kʰana	abcdef	45	2	1	1	source text-layer transcript; legacy glyphs checked against page image
188	to eat	1	k awa	kʰawa	0	45	2	2	1	source text-layer transcript; legacy glyphs checked against page image
189	to drink	1	pani k awa	pani kʰawa	0	45	2	1	1	source text-layer transcript; legacy glyphs checked against page image
189	to drink	2	pani pna	pani pɛna	b	45	2	2	0	source text-layer transcript; legacy glyphs checked against page image
189	to drink	2	pani pina	pani pina	acdef	45	2	3	0	source text-layer transcript; legacy glyphs checked against page image
190	to sing	1	an awa	ɡan ɡawa	0	45	2	1	0	source text-layer transcript; legacy glyphs checked against page image
190	to sing	2	la	ɛla	b	45	2	2	0	source text-layer transcript; legacy glyphs checked against page image
190	to sing	2	la dna	ɛla dɛna	acdef	45	2	3	0	source text-layer transcript; legacy glyphs checked against page image
191	to bite	1	kamarani	kamarani	abcdef	45	2	1	0	source text-layer transcript; legacy glyphs checked against page image
191	to bite	1	kamano	kamɽano	0	45	2	2	0	source text-layer transcript; legacy glyphs checked against page image
192	to laugh	1	haa	haʃa	0	45	2	1	0	source text-layer transcript; legacy glyphs checked against page image
192	to laugh	2	ahani	ahani	abcdef	45	2	2	0	source text-layer transcript; legacy glyphs checked against page image
193	to speak	1	bla	bɔla	0	46	1	1	0	source text-layer transcript; legacy glyphs checked against page image
193	to speak	2	matani	matani	abcdef	46	1	2	0	source text-layer transcript; legacy glyphs checked against page image
193	to speak	3	totarani	totarani	e	46	1	3	0	source text-layer transcript; legacy glyphs checked against page image
195	to know	1	dana	dʒana	0	46	1	1	0	source text-layer transcript; legacy glyphs checked against page image
195	to know	2	harpani	harpani	abcdef	46	1	2	0	source text-layer transcript; legacy glyphs checked against page image
196	to forget	1	b ul dawa	bʰulɛ dʒawa	0	46	1	1	1	source text-layer transcript; legacy glyphs checked against page image
196	to forget	2	pahuani	pahuɾani	abcdef	46	1	2	0	source text-layer transcript; legacy glyphs checked against page image
197	to sleep	1	 umani	ɡʰumani	af	46	1	1	1	source text-layer transcript; legacy glyphs checked against page image
197	to sleep	1	 umano	ɡʰumano	0	46	1	2	1	source text-layer transcript; legacy glyphs checked against page image
197	to sleep	2	 umdani	ɡʰumdʒani	d	46	1	3	1	source text-layer transcript; legacy glyphs checked against page image
197	to sleep	2	umdoui	ɡumdʒou̯ɾi	e	46	1	4	0	source text-layer transcript; legacy glyphs checked against page image
197	to sleep	2	undani	ɡundʒani	bc	46	1	5	0	source text-layer transcript; legacy glyphs checked against page image
198	to dream	1	pno dæk a	ʃɔpno dækʰa	0	46	1	1	1	source text-layer transcript; legacy glyphs checked against page image
198	to dream	2	hpon dhani	hɔpon dɛhani	de	46	1	2	0	source text-layer transcript; legacy glyphs checked against page image
198	to dream	2	hpon dk ani	hɔpon dɛkʰani	ab	46	1	3	1	source text-layer transcript; legacy glyphs checked against page image
198	to dream	2	hopon dhani	hopon dɛhani	c	46	1	4	0	source text-layer transcript; legacy glyphs checked against page image
199	to do/make	1	ka	kɔɾa	0	46	1	1	0	source text-layer transcript; legacy glyphs checked against page image
200	to work	1	kad ka	kadʒ kɔɾa	0	46	1	1	0	source text-layer transcript; legacy glyphs checked against page image
200	to work	2	kam kani	kam kɔɾani	abcdef	46	1	2	0	source text-layer transcript; legacy glyphs checked against page image
201	to play	1	k la	kʰɛla	0	46	2	1	1	source text-layer transcript; legacy glyphs checked against page image
201	to play	1	k lani	kʰɛlani	acdef	46	2	2	1	source text-layer transcript; legacy glyphs checked against page image
201	to play	1	k ltaa	kʰɛltaɾa	b	46	2	3	1	source text-layer transcript; legacy glyphs checked against page image
202	to dance	1	naani	naʃani	cdef	46	2	1	0	source text-layer transcript; legacy glyphs checked against page image
202	to dance	1	nasani	nasani	b	46	2	2	0	source text-layer transcript; legacy glyphs checked against page image
202	to dance	1	naa	natʃa	0	46	2	3	0	source text-layer transcript; legacy glyphs checked against page image
202	to dance	1	naani	natʃani	a	46	2	4	0	source text-layer transcript; legacy glyphs checked against page image
203	to throw	1	 oa	tʃʰoɾa	0	46	2	1	1	source text-layer transcript; legacy glyphs checked against page image
203	to throw	2	udani	udani	a	46	2	2	0	source text-layer transcript; legacy glyphs checked against page image
203	to throw	3	uadna	uɾadɛna	bcde	46	2	3	0	source text-layer transcript; legacy glyphs checked against page image
203	to throw	4	itadna	itadɛna	e	46	2	4	0	source text-layer transcript; legacy glyphs checked against page image
203	to throw	5	bidani	bidani	f	46	2	5	0	source text-layer transcript; legacy glyphs checked against page image
204	to lift	1	tola	tola	0	46	2	1	0	source text-layer transcript; legacy glyphs checked against page image
204	to lift	1	tulani	tulani	acdef	46	2	2	0	source text-layer transcript; legacy glyphs checked against page image
204	to lift	2	tur	tur	b	46	2	3	0	source text-layer transcript; legacy glyphs checked against page image
205	to push	1	d akka dwa	dʰakka dɛwa	0	46	2	1	1	source text-layer transcript; legacy glyphs checked against page image
205	to push	2	t elani	tʰelani	abcdef	46	2	2	1	source text-layer transcript; legacy glyphs checked against page image
206	to pull	1	ana	tana	0	46	2	1	0	source text-layer transcript; legacy glyphs checked against page image
206	to pull	2	aulani	aʃulani	cd	46	2	2	0	source text-layer transcript; legacy glyphs checked against page image
206	to pull	2	asulani	asulani	e	46	2	3	0	source text-layer transcript; legacy glyphs checked against page image
206	to pull	2	iulani	iʃulani	af	46	2	4	0	source text-layer transcript; legacy glyphs checked against page image
206	to pull	3	asur	asur	b	46	2	5	0	source text-layer transcript; legacy glyphs checked against page image
207	to tie	1	bad ani	badʰani	abcdef	46	2	1	1	source text-layer transcript; legacy glyphs checked against page image
207	to tie	1	bad a	bãdʰa	0	46	2	2	1	source text-layer transcript; legacy glyphs checked against page image
208	to wipe	1	mo a	motʃʰa	0	47	1	1	1	source text-layer transcript; legacy glyphs checked against page image
208	to wipe	1	mo ani	motʃʰani	af	47	1	2	1	source text-layer transcript; legacy glyphs checked against page image
208	to wipe	1	pu ani	putʃʰani	bcd	47	1	3	1	source text-layer transcript; legacy glyphs checked against page image
208	to wipe	2	pusani	pusani	e	47	1	4	0	source text-layer transcript; legacy glyphs checked against page image
208	to wipe	2	pu ani	putʃʰani	bcd	47	1	5	1	source text-layer transcript; legacy glyphs checked against page image
209	to weave (on loom)	1	tat bona	tatɛ bona	0	47	1	1	0	source text-layer transcript; legacy glyphs checked against page image
209	to weave (on loom)	1	tat bulani	tatɛ bulani	a	47	1	2	0	source text-layer transcript; legacy glyphs checked against page image
209	to weave (on loom)	2	p uti bunani	pʰuti bunani	bcde	47	1	3	1	source text-layer transcript; legacy glyphs checked against page image
209	to weave (on loom)	3	b bulani	bɛŋŋɛ bulani	f	47	1	4	0	source text-layer transcript; legacy glyphs checked against page image
210	to sew	1	lai ka	ʃɛlai̯ kɔɾa	0	47	1	1	0	source text-layer transcript; legacy glyphs checked against page image
210	to sew	2	hijani	hijani	bce	47	1	2	0	source text-layer transcript; legacy glyphs checked against page image
210	to sew	2	hiani	hiɾani	af	47	1	3	0	source text-layer transcript; legacy glyphs checked against page image
210	to sew	3	p uti hina	pʰuti hina	d	47	1	4	1	source text-layer transcript; legacy glyphs checked against page image
211	to wash (face/hand)	1	d oa	dʰoa	0	47	1	1	1	source text-layer transcript; legacy glyphs checked against page image
211	to wash (face/hand)	1	d oa	dʰoɡa	b	47	1	2	1	source text-layer transcript; legacy glyphs checked against page image
211	to wash (face/hand)	1	d ona	dʰona	acdef	47	1	3	1	source text-layer transcript; legacy glyphs checked against page image
212	to take bath	1	osol ka	ɡosol kɔɾa	0	47	1	1	0	source text-layer transcript; legacy glyphs checked against page image
212	to take bath	2	hinani	hinani	abcdef	47	1	2	0	source text-layer transcript; legacy glyphs checked against page image
213	to cut something	1	kapani	kapani	abcdef	47	1	1	0	source text-layer transcript; legacy glyphs checked against page image
213	to cut something	1	kaa	kata	0	47	1	2	0	source text-layer transcript; legacy glyphs checked against page image
214	to burn	1	poano	poɽano	0	47	1	1	0	source text-layer transcript; legacy glyphs checked against page image
214	to burn	1	puani	puɽani	abcdef	47	1	2	0	source text-layer transcript; legacy glyphs checked against page image
215	to buy	1	kena	kena	0	47	2	1	0	source text-layer transcript; legacy glyphs checked against page image
215	to buy	2	loa	loɡa	b	47	2	2	0	source text-layer transcript; legacy glyphs checked against page image
215	to buy	2	lona	lona	acdef	47	2	3	0	source text-layer transcript; legacy glyphs checked against page image
216	to sell	1	biki ka	bikɾi kɔɾa	0	47	2	1	0	source text-layer transcript; legacy glyphs checked against page image
216	to sell	2	bda	bɛdʒɡa	b	47	2	2	0	source text-layer transcript; legacy glyphs checked against page image
216	to sell	2	bsani	bɛsani	e	47	2	3	0	source text-layer transcript; legacy glyphs checked against page image
216	to sell	2	bani	bɛtʃani	af	47	2	4	0	source text-layer transcript; legacy glyphs checked against page image
216	to sell	2	b ani	bɛtʃʰani	cd	47	2	5	1	source text-layer transcript; legacy glyphs checked against page image
217	to steal	1	or koani	tʃor koɾani	abcdef	47	2	1	0	source text-layer transcript; legacy glyphs checked against page image
217	to steal	1	ui ka	tʃuɾi kɔɾa	0	47	2	2	0	source text-layer transcript; legacy glyphs checked against page image
219	to take	1	na	nɛa	0	47	2	1	0	source text-layer transcript; legacy glyphs checked against page image
219	to take	1	na	nɛɡa	b	47	2	2	0	source text-layer transcript; legacy glyphs checked against page image
219	to take	1	nna	nɛna	acdef	47	2	3	0	source text-layer transcript; legacy glyphs checked against page image
220	to give	1	da	dɛa	0	47	2	1	0	source text-layer transcript; legacy glyphs checked against page image
220	to give	1	da	dɛɡa	b	47	2	2	0	source text-layer transcript; legacy glyphs checked against page image
220	to give	1	dna	dɛna	acdef	47	2	3	0	source text-layer transcript; legacy glyphs checked against page image
223	to love	1	b alobaa	bʰalobaʃa	0	47	2	1	1	source text-layer transcript; legacy glyphs checked against page image
223	to love	2	bahanapaoi	bahanapaoɾi	af	47	2	2	0	source text-layer transcript; legacy glyphs checked against page image
223	to love	3	bahapani	bahapani	bcde	47	2	3	0	source text-layer transcript; legacy glyphs checked against page image
223	to love	3	banapaoi	banapaoɾi	e	47	2	4	0	source text-layer transcript; legacy glyphs checked against page image
224	to hate	1	 ina ka	ɡʰɾina kɔɾa	0	48	1	1	1	source text-layer transcript; legacy glyphs checked against page image
224	to hate	2	alipani	alipani	bcde	48	1	2	0	source text-layer transcript; legacy glyphs checked against page image
224	to hate	2	alipaoi	alipaoɾi	af	48	1	3	0	source text-layer transcript; legacy glyphs checked against page image
